municipio,codigo,receita_corrente,divida_consolidada,pessoal_encargos,cap_pag_div,eq1_cap_pag_div
Prefeitura Municipal de Palhoça - SC,4211900,516527388.67,12683084,271510971.45,.05176422,2.894578
Prefeitura Municipal de Palma Sola - SC,4212007,27994152.39,1215593,12623632.63,.079086006,2.8954732
Prefeitura Municipal de Palmeira - SC,4212056,17244945.45,0,7850031.2,0,2.8928819
Prefeitura Municipal de Palmitos - SC,4212106,47685521.04,2065,19854252.5,.000074197123,2.8928843
Prefeitura Municipal de Papanduva - SC,4212205,57610331.89,0,28459176.2,0,2.8928819
Prefeitura Municipal de Paraíso - SC,4212239,18998546.6,0,8467893.289999999,0,2.8928819
Prefeitura Municipal de Passo de Torres - SC,4212254,27567226.98,0,15217960.96,0,2.8928819
Prefeitura Municipal de Passos Maia - SC,4212270,23092223.91,332018,10916644.06,.027269173,2.8937755
Prefeitura Municipal de Paulo Lopes - SC,4212304,24742717.38,6296261,11534803.33,.47670367,2.9085019
Prefeitura Municipal de Pedras Grandes - SC,4212403,17876155.13,340496,8061862.22,.034693889,2.8940187
Prefeitura Municipal de Penha - SC,4212502,103597911.35,9486433,52929488.72,.18722574,2.8990166
Prefeitura Municipal de Peritiba - SC,4212601,17109600.12,414974,7641775.02,.043829918,2.8943181
Prefeitura Municipal de Pescaria Brava - SC,4212650,21141701.09,13005,12973965.07,.0015922405,2.8929341
Prefeitura Municipal de Petrolândia - SC,4212700,21489432.41,0,10392243.11,0,2.8928819
Prefeitura Municipal de Balneário Piçarras - SC,4212809,103208166.93,8988317,54014116.65,.18271147,2.8988688
Prefeitura Municipal de Pinhalzinho - SC,4212908,70841731.55,1362452,33045107.48,.036046922,2.894063
Prefeitura Municipal de Pinheiro Preto - SC,4213005,22920353.42,518848,10146770.66,.040618829,2.894213
Prefeitura Municipal de Piratuba - SC,4213104,37503838.81,0,18433543.1,0,2.8928819
Prefeitura Municipal de Planalto Alegre - SC,4213153,16574971.01,154909,6827962.83,.015892979,2.8934028
Prefeitura Municipal de Pomerode - SC,4213203,144719621.04,2987233,73752478.2,.042093184,2.8942611
Prefeitura Municipal de Ponte Alta - SC,4213302,19684997.36,476583,9980090.09,.049107425,2.894491
Prefeitura Municipal de Ponte Alta do Norte - SC,4213351,18405592.67,81378,8532863.73,.0082427058,2.893152
Prefeitura Municipal de Ponte Serrada - SC,4213401,34834690.36,2341711,17402552.18,.13433297,2.8972836
Prefeitura Municipal de Porto Belo - SC,4213500,92057544.68000001,4315514,46685074.8,.095113046,2.8959985
